"","Country","Code","Region","Year","Unemployment","IncomeGroup"
"56","Fiji","FJI","East Asia & Pacific",2020,4.79,"Upper middle income"
"57","Finland","FIN","Europe & Central Asia",2020,7.83,"High income"
"58","France","FRA","Europe & Central Asia",2020,8.62,"High income"
"59","French Polynesia","PYF","East Asia & Pacific",2020,13.81,"High income"
"60","Gabon","GAB","Sub-Saharan Africa",2020,20.47,"Upper middle income"
"61","Gambia","GMB","Sub-Saharan Africa",2020,9.64,"Low income"
"62","Georgia","GEO","Europe & Central Asia",2020,12.05,"Upper middle income"
"63","Germany","DEU","Europe & Central Asia",2020,4.31,"High income"
"64","Ghana","GHA","Sub-Saharan Africa",2020,4.53,"Lower middle income"
"65","Greece","GRC","Europe & Central Asia",2020,16.85,"High income"
"66","Guam","GUM","East Asia & Pacific",2020,7.51,"High income"
"67","Guatemala","GTM","Latin America & Caribbean",2020,4.65,"Upper middle income"
"68","Guinea","GIN","Sub-Saharan Africa",2020,4.35,"Low income"
"69","Guinea-Bissau","GNB","Sub-Saharan Africa",2020,3.16,"Low income"
"70","Guyana","GUY","Latin America & Caribbean",2020,15.82,"Upper middle income"
"71","Haiti","HTI","Latin America & Caribbean",2020,14.5,"Lower middle income"
"72","Honduras","HND","Latin America & Caribbean",2020,9.39,"Lower middle income"
"73","Hong Kong","HKG","East Asia & Pacific",2020,5.8,"High income"
"74","Hungary","HUN","Europe & Central Asia",2020,4.35,"High income"
"75","Iceland","ISL","Europe & Central Asia",2020,5.01,"High income"
"76","India","IND","South Asia",2020,7.11,"Lower middle income"
"77","Indonesia","IDN","East Asia & Pacific",2020,4.11,"Lower middle income"
"78","Iran","IRN","Middle East & North Africa",2020,10.96,"Lower middle income"
"79","Iraq","IRQ","Middle East & North Africa",2020,13.74,"Upper middle income"
"80","Ireland","IRL","Europe & Central Asia",2020,5.92,"High income"
"81","Israel","ISR","Middle East & North Africa",2020,4.61,"High income"
"82","Italy","ITA","Europe & Central Asia",2020,9.31,"High income"
"83","Jamaica","JAM","Latin America & Caribbean",2020,8.4,"Upper middle income"
"84","Japan","JPN","East Asia & Pacific",2020,2.97,"High income"
"85","Jordan","JOR","Middle East & North Africa",2020,18.5,"Upper middle income"
"86","Kazakhstan","KAZ","Europe & Central Asia",2020,6.05,"Upper middle income"
"87","Kenya","KEN","Sub-Saharan Africa",2020,2.98,"Lower middle income"
"88","Kuwait","KWT","Middle East & North Africa",2020,6.79,"High income"
"89","Kyrgyzstan","KGZ","Europe & Central Asia",2020,7.89,"Lower middle income"
"90","Laos","LAO","East Asia & Pacific",2020,0.95,"Lower middle income"
"91","Latvia","LVA","Europe & Central Asia",2020,8.19,"High income"
"92","Lebanon","LBN","Middle East & North Africa",2020,6.61,"Upper middle income"
"93","Lesotho","LSO","Sub-Saharan Africa",2020,24.65,"Lower middle income"
"94","Liberia","LBR","Sub-Saharan Africa",2020,3.3,"Low income"
"95","Libya","LBY","Middle East & North Africa",2020,19.39,"Upper middle income"
"96","Lithuania","LTU","Europe & Central Asia",2020,8.43,"High income"
"97","Luxembourg","LUX","Europe & Central Asia",2020,6.96,"High income"
"98","Macao","MAC","East Asia & Pacific",2020,2.5,"High income"
"99","Madagascar","MDG","Sub-Saharan Africa",2020,1.92,"Low income"
"100","Malawi","MWI","Sub-Saharan Africa",2020,5.99,"Low income"
"101","Malaysia","MYS","East Asia & Pacific",2020,4.55,"Upper middle income"
"102","Maldives","MDV","South Asia",2020,7.18,"Upper middle income"
"103","Mali","MLI","Sub-Saharan Africa",2020,7.5,"Low income"
"104","Malta","MLT","Middle East & North Africa",2020,4.09,"High income"
"105","Mauritania","MRT","Sub-Saharan Africa",2020,10.66,"Lower middle income"
"106","Mauritius","MUS","Sub-Saharan Africa",2020,7.11,"Upper middle income"
"107","Mexico","MEX","Latin America & Caribbean",2020,4.71,"Upper middle income"
"108","Moldova","MDA","Europe & Central Asia",2020,4.71,"Upper middle income"
"109","Mongolia","MNG","East Asia & Pacific",2020,4.33,"Lower middle income"
"110","Montenegro","MNE","Europe & Central Asia",2020,15.86,"Upper middle income"
"111","Morocco","MAR","Middle East & North Africa",2020,10.15,"Lower middle income"
"112","Mozambique","MOZ","Sub-Saharan Africa",2020,3.39,"Low income"
"113","Myanmar","MMR","East Asia & Pacific",2020,1.79,"Lower middle income"
"114","Namibia","NAM","Sub-Saharan Africa",2020,20.35,"Upper middle income"
"115","Nepal","NPL","South Asia",2020,4.44,"Lower middle income"
"116","Netherlands","NLD","Europe & Central Asia",2020,4.09,"High income"
"117","New Caledonia","NCL","East Asia & Pacific",2020,16.52,"High income"
"118","New Zealand","NZL","East Asia & Pacific",2020,4.55,"High income"
"119","Nicaragua","NIC","Latin America & Caribbean",2020,5.82,"Lower middle income"
"120","Niger","NER","Sub-Saharan Africa",2020,0.69,"Low income"
"121","Nigeria","NGA","Sub-Saharan Africa",2020,9.01,"Lower middle income"
"122","North Korea","PRK","East Asia & Pacific",2020,2.81,"Low income"
"123","North Macedonia","MKD","Europe & Central Asia",2020,18.4,"Upper middle income"
"124","Norway","NOR","Europe & Central Asia",2020,4.62,"High income"
"125","Oman","OMN","Middle East & North Africa",2020,4.97,"High income"
"126","Pakistan","PAK","South Asia",2020,4.65,"Lower middle income"
"127","Palestine","PSE","Middle East & North Africa",2020,27.35,"Lower middle income"
"128","Panama","PAN","Latin America & Caribbean",2020,10.23,"Upper middle income"
"129","Papua New Guinea","PNG","East Asia & Pacific",2020,2.74,"Lower middle income"
"130","Paraguay","PRY","Latin America & Caribbean",2020,7.61,"Upper middle income"
"131","Peru","PER","Latin America & Caribbean",2020,6.24,"Upper middle income"
"132","Philippines","PHL","East Asia & Pacific",2020,3.36,"Lower middle income"
"133","Poland","POL","Europe & Central Asia",2020,3.55,"High income"
"134","Portugal","PRT","Europe & Central Asia",2020,7.2,"High income"
"135","Puerto Rico","PRI","Latin America & Caribbean",2020,11.17,"High income"
"136","Qatar","QAT","Middle East & North Africa",2020,3.45,"High income"
"137","Romania","ROU","Europe & Central Asia",2020,4.84,"Upper middle income"
"138","Russia","RUS","Europe & Central Asia",2020,5.73,"Upper middle income"
"139","Rwanda","RWA","Sub-Saharan Africa",2020,1.35,"Low income"
"140","Saint Lucia","LCA","Latin America & Caribbean",2020,17.13,"Upper middle income"
"141","Saint Vincent and the Grenadines","VCT","Latin America & Caribbean",2020,20.27,"Upper middle income"
"142","Samoa","WSM","East Asia & Pacific",2020,8.87,"Lower middle income"
"143","Sao Tome and Principe","STP","Sub-Saharan Africa",2020,13.86,"Lower middle income"
"144","Saudi Arabia","SAU","Middle East & North Africa",2020,8.22,"High income"
"145","Senegal","SEN","Sub-Saharan Africa",2020,7.1,"Lower middle income"
"146","Serbia","SRB","Europe & Central Asia",2020,9.08,"Upper middle income"
"147","Sierra Leone","SLE","Sub-Saharan Africa",2020,4.6,"Low income"
"148","Singapore","SGP","East Asia & Pacific",2020,5.19,"High income"
"149","Slovakia","SVK","Europe & Central Asia",2020,6.79,"High income"
"150","Slovenia","SVN","Europe & Central Asia",2020,5.17,"High income"
"151","Solomon Islands","SLB","East Asia & Pacific",2020,0.79,"Lower middle income"
"152","Somalia","SOM","Sub-Saharan Africa",2020,13.1,"Low income"
"153","South Africa","ZAF","Sub-Saharan Africa",2020,28.74,"Upper middle income"
"154","South Korea","KOR","East Asia & Pacific",2020,4.07,"High income"
"155","South Sudan","SSD","Sub-Saharan Africa",2020,12.66,"Low income"
"156","Spain","ESP","Europe & Central Asia",2020,15.67,"High income"
"157","Sri Lanka","LKA","South Asia",2020,4.84,"Lower middle income"
"158","Sudan","SDN","Sub-Saharan Africa",2020,17.71,"Low income"
"159","Suriname","SUR","Latin America & Caribbean",2020,8.65,"Upper middle income"
"160","Sweden","SWE","Europe & Central Asia",2020,8.45,"High income"
"161","Switzerland","CHE","Europe & Central Asia",2020,4.94,"High income"
"162","Syria","SYR","Middle East & North Africa",2020,9.03,"Low income"
"163","Tajikistan","TJK","Europe & Central Asia",2020,7.5,"Lower middle income"
"164","Tanzania","TZA","Sub-Saharan Africa",2020,2.16,"Lower middle income"
"165","Thailand","THA","East Asia & Pacific",2020,1.02,"Upper middle income"
"166","Timor","TLS","East Asia & Pacific",2020,5.06,"Lower middle income"
"167","Togo","TGO","Sub-Saharan Africa",2020,4.05,"Low income"
"168","Tonga","TON","East Asia & Pacific",2020,4.37,"Upper middle income"
"169","Trinidad and Tobago","TTO","Latin America & Caribbean",2020,6.74,"High income"
"170","Tunisia","TUN","Middle East & North Africa",2020,16.69,"Lower middle income"
"171","Turkey","TUR","Europe & Central Asia",2020,13.92,"Upper middle income"
"172","Turkmenistan","TKM","Europe & Central Asia",2020,4.38,"Upper middle income"
"173","Uganda","UGA","Sub-Saharan Africa",2020,2.44,"Low income"
"174","Ukraine","UKR","Europe & Central Asia",2020,9.48,"Lower middle income"
"175","United Arab Emirates","ARE","Middle East & North Africa",2020,5,"High income"
"176","United Kingdom","GBR","Europe & Central Asia",2020,4.34,"High income"
"177","United States","USA","North America",2020,8.31,"High income"
"178","United States Virgin Islands","VIR","Latin America & Caribbean",2020,11.84,"High income"
"179","Uruguay","URY","Latin America & Caribbean",2020,12.67,"High income"
"180","Uzbekistan","UZB","Europe & Central Asia",2020,5.97,"Lower middle income"
"181","Vanuatu","VUT","East Asia & Pacific",2020,1.95,"Lower middle income"
"182","Venezuela","VEN","Latin America & Caribbean",2020,9.14,NA
"183","Vietnam","VNM","East Asia & Pacific",2020,2.27,"Lower middle income"
"184","Yemen","YEM","Middle East & North Africa",2020,13.42,"Low income"
"185","Zambia","ZMB","Sub-Saharan Africa",2020,12.17,"Lower middle income"
"186","Zimbabwe","ZWE","Sub-Saharan Africa",2020,5.73,"Lower middle income"
